graph_name,acc,time,macro-avg-f1-score
data_754_features_corr_graph_subgraph358.gpickle,0.002118328,-0.001487893,287
data_754_features_corr_graph_subgraph359.gpickle,-0.019871136,-0.05036292,288
data_754_features_corr_graph_subgraph36.gpickle,-0.008311666,-0.000975402,289
data_754_features_corr_graph_subgraph360.gpickle,-0.007949052,-0.012870695,290
data_754_features_corr_graph_subgraph361.gpickle,0.012084049,0.0075921,291
data_754_features_corr_graph_subgraph362.gpickle,-0.035734396,-0.031574007,292
data_754_features_corr_graph_subgraph363.gpickle,-0.01750131,-0.047514122,293
data_754_features_corr_graph_subgraph364.gpickle,-0.015460838,-0.028530078,294
data_754_features_corr_graph_subgraph365.gpickle,0.000929855,-0.024535483,295
data_754_features_corr_graph_subgraph366.gpickle,0.024378426,0.051479384,296
data_754_features_corr_graph_subgraph367.gpickle,-0.017182231,-0.0497476,297
data_754_features_corr_graph_subgraph368.gpickle,-0.020280939,-0.038914405,298
data_754_features_corr_graph_subgraph369.gpickle,-0.031588707,-0.048925374,299
data_754_features_corr_graph_subgraph37.gpickle,0.02284938,0.046546645,300
data_754_features_corr_graph_subgraph370.gpickle,0.008103247,0.007246036,301
data_754_features_corr_graph_subgraph371.gpickle,0.000898116,-0.031493064,302
data_754_features_corr_graph_subgraph372.gpickle,-0.006414956,-0.010420287,303
data_754_features_corr_graph_subgraph373.gpickle,-0.006187304,-0.014668175,304
data_754_features_corr_graph_subgraph374.gpickle,0.024706716,0.051330555,305
data_754_features_corr_graph_subgraph375.gpickle,0.014766092,-0.007959975,306
data_754_features_corr_graph_subgraph376.gpickle,0.018831741,0.03316905,307
data_754_features_corr_graph_subgraph377.gpickle,-0.016251372,-0.032140672,308
data_754_features_corr_graph_subgraph378.gpickle,0.003186182,-0.029465564,309
data_754_features_corr_graph_subgraph379.gpickle,-0.001867398,0.009551091,310
data_754_features_corr_graph_subgraph38.gpickle,0.000713108,0.0165448,311
data_754_features_corr_graph_subgraph380.gpickle,-0.009849525,-0.026686843,312
data_754_features_corr_graph_subgraph381.gpickle,-0.004534317,-0.026600027,313
data_754_features_corr_graph_subgraph382.gpickle,-0.022939047,-0.07166158,314
data_754_features_corr_graph_subgraph383.gpickle,0.007570423,0.017412748,315
data_754_features_corr_graph_subgraph384.gpickle,0.017324418,0.026733646,316
data_754_features_corr_graph_subgraph385.gpickle,-0.010029677,-0.029045152,317
data_754_features_corr_graph_subgraph386.gpickle,0.013893311,0.020095322,318
data_754_features_corr_graph_subgraph387.gpickle,-0.005714899,-0.01523997,319
data_754_features_corr_graph_subgraph388.gpickle,-0.013324697,-0.018674739,320
data_754_features_corr_graph_subgraph389.gpickle,-0.013761824,-0.0413502,321
data_754_features_corr_graph_subgraph39.gpickle,-0.021096684,-0.049199063,322
data_754_features_corr_graph_subgraph390.gpickle,0.02911193,0.053933807,323
data_754_features_corr_graph_subgraph391.gpickle,-0.039294872,-0.09153922,324
data_754_features_corr_graph_subgraph392.gpickle,0.010533423,0.018239984,325
data_754_features_corr_graph_subgraph393.gpickle,0.011624392,0.025712382,326
data_754_features_corr_graph_subgraph394.gpickle,0.008244789,0.01752316,327
data_754_features_corr_graph_subgraph395.gpickle,0.023247777,0.030532168,328
data_754_features_corr_graph_subgraph396.gpickle,-0.010759767,-0.028590197,329
data_754_features_corr_graph_subgraph397.gpickle,-0.006757496,-0.025455106,330
data_754_features_corr_graph_subgraph398.gpickle,-0.008531209,-0.008584976,331
data_754_features_corr_graph_subgraph399.gpickle,-0.007132739,-0.017807845,332
data_754_features_corr_graph_subgraph4.gpickle,0.027877327,0.04570765,333
